iter	Passed	Remaining
0	480	239619
1	872	217280
2	1245	206322
3	1620	200913
4	1991	197110
5	2382	196141
6	2752	193842
7	3100	190703
8	3484	190077
9	3850	188661
10	4272	189926
11	4633	188410
12	5005	187500
13	5376	186637
14	5745	185774
15	6123	185228
16	6495	184546
17	6871	184001
18	7251	183568
19	7617	182812
20	7993	182337
21	8359	181620
22	8729	181032
23	9091	180323
24	9456	179675
25	9829	179196
26	10209	178853
27	10585	178441
28	10952	177885
29	11326	177449
30	11696	176960
31	12077	176632
32	12440	176056
33	12809	175566
34	13272	176336
35	13717	176799
36	14182	177468
37	14542	176808
38	14943	176636
39	15342	176439
40	15716	175948
41	16078	175331
42	16441	174741
43	16824	174359
44	17199	173901
45	17567	173380
46	17937	172884
47	18311	172430
48	18677	171912
49	19046	171417
50	19411	170897
51	19776	170384
52	20148	169928
53	20503	169343
54	20859	168773
55	21220	168251
56	21574	167677
57	21928	167107
58	22280	166540
59	22640	166032
60	23014	165627
61	23371	165104
62	23730	164610
63	24086	164087
64	24438	163552
65	24801	163086
66	25166	162643
67	25523	162151
68	25894	161747
69	26284	161461
70	26635	160941
71	26978	160372
72	27319	159800
73	27678	159337
74	28036	158876
75	28389	158383
76	28751	157947
77	29118	157536
78	29467	157036
79	29827	156591
80	30183	156133
81	30533	155648
82	30882	155157
83	31231	154670
84	31583	154200
85	31926	153694
86	32273	153207
87	32627	152756
88	32977	152291
89	33332	151847
90	33678	151366
91	34025	150893
92	34371	150421
93	34718	149953
94	35074	149527
95	35428	149094
96	35779	148651
97	36127	148198
98	36473	147734
99	36822	147290
100	37245	147136
101	37623	146806
102	37995	146448
103	38359	146060
104	38716	145648
105	39074	145238
106	39428	144817
107	39772	144359
108	40130	143953
109	40486	143541
110	40837	143114
111	41193	142705
112	41545	142285
113	41902	141878
114	42257	141469
115	42610	141056
116	42957	140623
117	43297	140167
118	43650	139755
119	44000	139335
120	44346	138905
121	44702	138503
122	45168	138443
123	45583	138221
124	45970	137912
125	46311	137464
126	46659	137040
127	47001	136598
128	47348	136172
129	47702	135769
130	48103	135498
131	48450	135075
132	48797	134651
133	49140	134220
134	49491	133811
135	49838	133391
136	50191	132988
137	50533	132560
138	50880	132144
139	51227	131726
140	51568	131297
141	51922	130902
142	52268	130489
143	52614	130073
144	52958	129656
145	53306	129249
146	53653	128840
147	53995	128421
148	54343	128016
149	54684	127598
150	55035	127201
151	55378	126786
152	55723	126379
153	56072	125980
154	56414	125568
155	56759	125161
156	57103	124754
157	57440	124332
158	57780	123918
159	58137	123541
160	58480	123135
161	58845	122775
162	59241	122480
163	59591	122089
164	59937	121692
165	60284	121296
166	60635	120908
167	60981	120511
168	61331	120122
169	61681	119733
170	62027	119339
171	62369	118938
172	62714	118541
173	63062	118151
174	63402	117747
175	63747	117353
176	64099	116972
177	64442	116575
178	64784	116178
179	65129	115785
180	65474	115394
181	65815	114997
182	66162	114609
183	66501	114209
184	66836	113802
185	67180	113412
186	67521	113017
187	67867	112631
188	68213	112245
189	68563	111866
190	68920	111500
191	69273	111126
192	69621	110744
193	70003	110417
194	70362	110054
195	70704	109663
196	71048	109278
197	71390	108887
198	71731	108498
199	72080	108120
200	72419	107728
201	72765	107347
202	73134	106999
203	73481	106620
204	73828	106241
205	74179	105867
206	74529	105493
207	74872	105109
208	75220	104732
209	75561	104347
210	75901	103960
211	76250	103585
212	76601	103214
213	76971	102868
214	77430	102639
215	77853	102363
216	78237	102033
217	78586	101657
218	78927	101272
219	79272	100892
220	79611	100505
221	79956	100125
222	80307	99754
223	80653	99377
224	81037	99045
225	81394	98682
226	81733	98295
227	82083	97923
228	82421	97537
229	82769	97163
230	83124	96798
231	83474	96427
232	83819	96050
233	84170	95680
234	84517	95307
235	84857	94925
236	85209	94557
237	85554	94181
238	85898	93805
239	86239	93426
240	86593	93060
241	86942	92691
242	87298	92327
243	87635	91945
244	87983	91574
245	88331	91203
246	88678	90832
247	89048	90485
248	89417	90135
249	89783	89783
250	90153	89435
251	90515	89078
252	90887	88731
253	91251	88377
